student_id,attendance,study_hours,assignment_completion,internal_marks,previous_gpa,participation_score,sleep_hours,internet_access,family_support,extra_curricular,risk_category,pass_status
STU-0001,84,0.9,82,80,8.71,27,5.2,1,1,0,Low Risk,1
STU-0002,72,5.2,35,27,7.8,49,6.5,1,0,0,Medium Risk,0
STU-0003,87,2.1,79,65,7.79,60,8.7,1,1,0,Low Risk,1
STU-0004,100,0.5,17,76,6.15,74,7.8,1,1,1,Low Risk,1
STU-0005,70,0.5,85,100,7.9,45,8.0,1,1,0,Low Risk,1
STU-0006,70,1.2,92,55,6.48,98,7.2,1,0,1,Low Risk,1
STU-0007,100,4.6,55,71,8.11,32,7.8,1,1,0,Low Risk,1
STU-0008,90,3.7,73,28,3.19,16,5.8,1,0,0,Medium Risk,0
STU-0009,65,4.7,100,17,6.13,87,6.5,1,1,0,Low Risk,1
STU-0010,85,2.2,57,81,10.0,3,7.3,1,1,0,Low Risk,1
STU-0011,65,1.7,43,64,5.47,54,7.4,1,0,1,Medium Risk,0
STU-0012,65,0.5,100,88,5.79,100,7.5,1,1,0,Low Risk,1
STU-0013,79,1.2,100,37,6.1,59,6.8,1,1,0,Medium Risk,0
STU-0014,36,1.7,70,75,4.57,31,6.4,1,1,0,Medium Risk,0
STU-0015,40,0.5,95,100,2.58,58,11.7,1,1,0,Medium Risk,0
STU-0016,63,0.7,100,73,6.54,58,8.4,0,1,0,Low Risk,1
STU-0017,54,2.7,51,70,7.27,64,7.6,1,1,0,Medium Risk,0
STU-0018,81,4.0,57,65,6.89,76,6.7,1,1,1,Low Risk,1
STU-0019,56,12.0,100,33,6.71,34,6.3,1,1,0,Medium Risk,0
STU-0020,46,8.1,100,92,7.09,100,6.8,1,1,0,Low Risk,1
STU-0021,100,3.1,84,52,9.05,66,7.4,0,0,1,Low Risk,1
STU-0022,70,1.6,48,75,6.62,78,4.2,1,1,0,Medium Risk,0
STU-0023,76,3.0,100,33,5.85,44,4.6,1,1,0,Low Risk,1
STU-0024,46,4.6,56,41,6.44,92,6.0,1,1,1,Medium Risk,0
STU-0025,64,0.5,61,93,8.16,53,7.3,1,1,0,Low Risk,1
STU-0026,77,1.6,78,58,9.82,66,6.6,1,1,1,Low Risk,1
STU-0027,51,5.5,100,94,5.74,36,9.2,1,1,1,Low Risk,1
STU-0028,82,1.5,91,63,7.2,35,4.8,0,1,1,Medium Risk,0
STU-0029,62,2.5,80,28,7.68,77,5.9,1,1,1,Low Risk,1
STU-0030,69,2.7,81,82,5.01,48,9.3,1,0,0,Low Risk,1
STU-0031,62,0.6,71,53,7.04,38,7.2,1,1,0,Low Risk,1
STU-0032,100,1.3,83,78,4.07,43,8.3,1,1,0,Low Risk,1
STU-0033,74,1.2,6,65,3.46,77,10.1,1,1,0,Medium Risk,0
STU-0034,53,0.5,62,34,7.73,44,6.0,1,1,1,Medium Risk,0
STU-0035,91,0.5,76,68,6.23,57,6.9,1,0,1,Low Risk,1
STU-0036,50,5.3,41,100,7.4,60,6.6,1,0,1,Medium Risk,0
STU-0037,79,1.0,79,74,6.96,12,4.1,1,1,1,Low Risk,1
STU-0038,35,2.2,64,63,5.05,23,6.5,1,1,0,Medium Risk,0
STU-0039,48,1.1,100,86,6.91,68,8.3,0,1,1,Medium Risk,0
STU-0040,78,8.5,100,69,4.53,41,7.8,0,1,1,Low Risk,1
STU-0041,89,0.9,58,69,9.78,86,7.9,1,0,1,Low Risk,1
STU-0042,78,1.7,66,43,4.29,84,6.4,1,0,0,Medium Risk,0
STU-0043,72,6.2,68,69,6.61,77,6.0,0,1,1,Low Risk,1
STU-0044,68,5.5,58,85,4.92,100,8.9,1,1,0,Low Risk,1
STU-0045,45,0.6,74,48,8.14,57,6.3,1,1,1,Medium Risk,0
STU-0046,60,4.9,51,93,6.34,76,7.4,1,1,1,Low Risk,1
STU-0047,65,1.8,41,63,5.96,45,7.2,1,1,0,Medium Risk,0
STU-0048,96,2.0,85,47,8.71,100,9.2,1,0,1,Medium Risk,0
STU-0049,81,0.5,85,84,7.06,100,8.5,1,1,1,Low Risk,1
STU-0050,39,0.5,49,59,8.03,60,5.1,1,1,0,Medium Risk,0
STU-0051,81,3.9,92,80,5.04,69,5.2,1,0,1,Low Risk,1
STU-0052,67,2.1,54,59,4.19,93,7.9,1,1,1,Low Risk,1
STU-0053,61,1.7,76,63,7.21,56,6.9,1,1,1,Low Risk,1
STU-0054,87,3.9,90,74,6.36,43,6.3,1,1,1,Low Risk,1
STU-0055,95,4.4,69,70,8.25,81,8.5,0,1,1,Low Risk,1
STU-0056,93,0.5,81,25,6.84,61,7.3,0,1,1,Medium Risk,0
STU-0057,58,2.8,57,42,7.41,64,7.1,1,0,0,Medium Risk,0
STU-0058,68,0.5,65,83,3.75,39,8.2,1,0,0,Medium Risk,0
STU-0059,81,4.2,64,62,10.0,17,6.4,1,0,1,Low Risk,1
STU-0060,94,3.2,51,54,6.67,65,9.4,1,1,1,Low Risk,1
STU-0061,65,9.4,65,37,8.4,82,5.8,0,0,1,Low Risk,1
STU-0062,71,0.5,31,43,5.33,54,8.0,1,1,1,Medium Risk,0
